"submodel","params","true_value"
"longitudinal","theta_ou[1,1]",10.2
"longitudinal","theta_ou[2,1]",4.9
"longitudinal","theta_ou[1,2]",5.1
"longitudinal","theta_ou[2,2]",10
"longitudinal","sigma_ou[1]",3.91797078211476
"longitudinal","sigma_ou[2]",3.89210930620983
"longitudinal","rho",-0.495049504950495
"longitudinal","tau[1]",2
"longitudinal","tau[2]",-1
"longitudinal","lambda[1]",0.4
"longitudinal","lambda[2]",0.25
"longitudinal","lambda[3]",0.5
"longitudinal","lambda[4]",0.6
"longitudinal","sigma2_u[1]",0.16
"longitudinal","sigma2_u[2]",0.16
"longitudinal","sigma2_u[3]",0.25
"longitudinal","sigma2_u[4]",0.16
"longitudinal","sigma2_e[1]",0.04
"longitudinal","sigma2_e[2]",0.01
"longitudinal","sigma2_e[3]",0.09
"longitudinal","sigma2_e[4]",0.04
