"submodel","params","true_value"
"longitudinal","theta_ou[1,1]",2.4
"longitudinal","theta_ou[2,1]",2.9
"longitudinal","theta_ou[1,2]",1.2
"longitudinal","theta_ou[2,2]",3.6
"longitudinal","sigma_ou[1]",1.77763888346312
"longitudinal","sigma_ou[2]",1.79907383580182
"longitudinal","rho",-0.683333333333333
"longitudinal","tau[1]",2
"longitudinal","tau[2]",-1
"longitudinal","lambda[1]",0.9
"longitudinal","lambda[2]",0.5
"longitudinal","lambda[3]",1
"longitudinal","lambda[4]",0.8
"longitudinal","sigma2_u[1]",0.16
"longitudinal","sigma2_u[2]",0.25
"longitudinal","sigma2_u[3]",0.64
"longitudinal","sigma2_u[4]",1
"longitudinal","sigma2_e[1]",0.04
"longitudinal","sigma2_e[2]",0.36
"longitudinal","sigma2_e[3]",0.09
"longitudinal","sigma2_e[4]",0.49
